name,vacancy_rate,rental_stock,population,rental_pop,state,region
Pymble,1.19,56,11051.0,16.01,New South Wales,Ku-ring-gai
St Ives,0.55,39,17300.0,13.86,New South Wales,Ku-ring-gai
Turramurra,1.02,52,11922.0,17.06,New South Wales,Ku-ring-gai
Warrawee,1.19,14,2992.0,18.02,New South Wales,Ku-ring-gai
Cremorne,1.67,101,11227.0,38.28,New South Wales,North Sydney
Cammeray,1.48,54,7003.0,38.1,New South Wales,North Sydney
Crows Nest,2.22,67,4798.0,44.81,New South Wales,North Sydney
Waverton,1.42,23,3020.0,39.34,New South Wales,North Sydney
Neutral Bay,1.67,101,10485.0,44.35,New South Wales,North Sydney
Kirribilli,1.93,61,3821.0,47.79,New South Wales,North Sydney
North Sydney,2.08,136,7704.0,47.28,New South Wales,North Sydney
Lavender Bay,2.97,18,947.0,40.64,New South Wales,North Sydney
Mosman,1.28,178,28482.0,29.25,New South Wales,Mosman
Balgowlah,0.94,34,7961.0,27.78,New South Wales,Northern Beaches
Clontarf,0.48,3,1739.0,7.22,New South Wales,Northern Beaches
Seaforth,0.59,15,7141.0,14.46,New South Wales,Northern Beaches
Manly,1.63,145,15864.0,40.26,New South Wales,Northern Beaches
Fairlight,1.01,28,5843.0,29.38,New South Wales,Northern Beaches
Avalon,0.85,1,292.0,6.12,Victoria,Greater Geelong
Palm Beach,1.31,120,14655.0,33.56,Queensland,Gold Coast
Bayview,0.23,4,3621.0,16.44,New South Wales,Northern Beaches
Elanora Heights,0.44,7,4354.0,10.53,New South Wales,Northern Beaches
Newport,0.66,39,12916.0,25.26,Victoria,Hobsons Bay
Mona Vale,0.44,20,10672.0,19.28,New South Wales,Northern Beaches
North Narrabeen,0.37,9,5853.0,15.36,New South Wales,Northern Beaches
Beacon Hill,0.35,9,7459.0,12.22,New South Wales,Northern Beaches
Narraweena,0.64,17,6610.0,29.21,New South Wales,Northern Beaches
Cromer,0.39,12,7593.0,15.9,New South Wales,Northern Beaches
Forestville,0.62,20,8329.0,19.04,New South Wales,Northern Beaches
Killarney Heights,0.73,11,4467.0,10.74,New South Wales,Northern Beaches
Freshwater,1.13,46,8864.0,32.63,New South Wales,Northern Beaches
Brookvale,0.86,14,3158.0,38.35,New South Wales,Northern Beaches
Manly Vale,0.95,27,6160.0,35.16,New South Wales,Northern Beaches
Allambie Heights,0.41,11,7006.0,16.77,New South Wales,Northern Beaches
Terrey Hills,0.19,2,3037.0,14.0,New South Wales,Northern Beaches
Duffys Forest,1.23,2,480.0,10.88,New South Wales,Northern Beaches
Belrose,0.64,22,8776.0,9.94,New South Wales,Northern Beaches
Collaroy,0.88,30,7870.0,27.06,New South Wales,Northern Beaches
Collaroy Plateau,0.32,5,4767.0,9.76,New South Wales,Northern Beaches
North Curl Curl,0.29,4,4116.0,15.29,New South Wales,Northern Beaches
Dee Why,0.99,116,21520.0,40.5,New South Wales,Northern Beaches
Frenchs Forest,0.58,28,13474.0,12.27,New South Wales,Northern Beaches
Oxford Falls,,0,140.0,9.3,New South Wales,Northern Beaches
Narrabeen,0.85,37,8207.0,36.92,New South Wales,Northern Beaches
Wheeler Heights,0.28,3,2992.0,10.18,New South Wales,Northern Beaches
Camden,0.99,15,3225.0,30.17,New South Wales,Camden
Ellis Lane,0.34,1,859.0,6.12,New South Wales,Camden
Currans Hill,0.52,10,5302.0,26.26,New South Wales,Camden
Elderslie,,0,150.0,18.18,Tasmania,Southern Midlands
Narellan,0.43,7,3612.0,27.52,New South Wales,Camden
Harrington Park,0.42,16,10657.0,11.7,New South Wales,Camden
Mount Annan,0.33,13,11700.0,16.73,New South Wales,Camden
Spring Farm,0.51,19,4302.0,20.27,New South Wales,Camden
Bradbury,0.99,37,8804.0,27.43,New South Wales,Campbelltown
Wedderburn,0.14,1,935.0,8.01,Victoria,Loddon
Campbelltown,1.85,141,12571.0,41.86,New South Wales,Campbelltown
Woodbine,0.52,5,2738.0,21.59,New South Wales,Campbelltown
Claymore,0.6,8,2649.0,68.94,New South Wales,Campbelltown
Eagle Vale,0.86,17,5785.0,24.53,New South Wales,Campbelltown
Raby,0.77,16,5945.0,17.75,New South Wales,Campbelltown
Leumeah,0.99,40,9835.0,34.0,New South Wales,Campbelltown
Minto Heights,,0,385.0,12.38,New South Wales,Campbelltown
Minto,0.73,36,12551.0,33.33,New South Wales,Campbelltown
St Andrews,0.51,10,5731.0,20.8,New South Wales,Campbelltown
Rosemeadow,0.76,23,7858.0,30.01,New South Wales,Campbelltown
Glen Alpine,0.07,1,4561.0,5.65,New South Wales,Campbelltown
Denham Court,0.78,29,1983.0,14.44,New South Wales,Campbelltown
Bardia,1.87,32,1604.0,29.14,New South Wales,Campbelltown
Glenfield,1.11,41,9635.0,27.95,New South Wales,Campbelltown
Ingleburn,0.82,51,15039.0,28.91,New South Wales,Campbelltown
Macquarie Fields,0.94,49,13718.0,37.38,New South Wales,Campbelltown
Bargo,0.58,10,4394.0,15.72,New South Wales,Wollondilly
Douglas Park,0.39,2,1354.0,8.16,New South Wales,Wollondilly
Appin,0.39,4,2624.0,13.46,New South Wales,Wollondilly
Picton,0.61,13,4819.0,17.32,New South Wales,Wollondilly
Tahmoor,1.41,46,5067.0,26.71,New South Wales,Wollondilly
Buxton,0.66,5,2034.0,10.56,New South Wales,Wollondilly
The Oaks,0.29,3,2523.0,14.63,New South Wales,Wollondilly
Oakdale,0.44,4,1849.0,13.74,New South Wales,Wollondilly
Blackheath,0.33,10,4401.0,16.37,New South Wales,Blue Mountains
Megalong Valley,,0,149.0,8.14,New South Wales,Blue Mountains
Blaxland,0.14,4,7447.0,15.97,New South Wales,Blue Mountains
Warrimoo,0.11,1,2450.0,10.0,New South Wales,Blue Mountains
Lapstone,0.84,3,961.0,12.28,New South Wales,Blue Mountains
Katoomba,0.59,29,7960.0,25.05,New South Wales,Blue Mountains
Leura,0.66,18,4648.0,16.56,New South Wales,Blue Mountains
Lawson,0.4,5,2619.0,17.4,New South Wales,Blue Mountains
Hazelbrook,0.48,10,4979.0,13.1,New South Wales,Blue Mountains
Linden,0.98,2,498.0,7.89,New South Wales,Blue Mountains
Springwood,0.62,25,9142.0,26.81,Queensland,Logan
Winmalee,0.42,10,6200.0,11.25,New South Wales,Blue Mountains
Wentworth Falls,0.39,12,6072.0,16.23,New South Wales,Blue Mountains
Cambridge Park,1.41,40,6729.0,28.43,New South Wales,Penrith
Emu Plains,0.42,15,8415.0,17.95,New South Wales,Penrith
Leonay,0.32,3,2517.0,9.99,New South Wales,Penrith
Glenmore Park,0.56,49,23010.0,20.68,New South Wales,Penrith
Regentville,0.65,2,811.0,19.51,New South Wales,Penrith
Jamisontown,1.16,30,5493.0,33.02,New South Wales,Penrith
South Penrith,0.87,41,11788.0,23.62,New South Wales,Penrith
Kingswood,0.59,6,2309.0,22.61,South Australia,Mitcham
Werrington,1.61,45,4024.0,42.3,New South Wales,Penrith
Mulgoa,0.72,5,1901.0,11.87,New South Wales,Penrith
Luddenham,0.44,3,1829.0,11.6,New South Wales,Penrith
Orchard Hills,0.62,4,1879.0,12.95,New South Wales,Penrith
Penrith,1.73,171,13292.0,46.28,New South Wales,Penrith
Warragamba,0.19,1,1237.0,16.73,New South Wales,Wollondilly
Silverdale,0.6,11,3675.0,6.57,New South Wales,Wollondilly
Cranebrook,0.9,51,15764.0,24.58,New South Wales,Penrith
Castlereagh,0.49,2,1173.0,14.48,New South Wales,Penrith
Jordan Springs,1.24,48,5158.0,32.87,New South Wales,Penrith
Llandilo,0.8,4,1633.0,20.92,New South Wales,Penrith
Richmond,1.65,281,27707.0,47.32,Victoria,Yarra
Clarendon,,0,615.0,9.61,South Australia,Onkaparinga
Windsor,1.84,85,7279.0,48.04,Victoria,Stonnington
Bligh Park,0.85,20,6360.0,33.64,New South Wales,Hawkesbury
