Suburb,Median listing price,Median price change - last quarter (%),Median price change - 1 year (%),Median price change - 2 years (%),Median weekly rent,Median yield %,Median rent change - 1 year (%),Previous month sales,Stock on market previous month,Stock variance vs. last year (%),Average days on market
Telarah,595000.0,0.0,4.38,4.84,535.0,4.67,8.08,1.0,9.0,12.5,91.0
Tenambit,687500.0,-0.73,-0.37,1.1,580.0,4.38,6.42,2.0,9.0,-30.77,47.0
Thornton,840000.0,0.96,8.38,9.09,615.0,3.8,6.95,16.0,79.0,27.42,102.0
Millers Forest,,,,,,,,0.0,2.0,-33.33,
Anna Bay,875000.0,0.86,1.74,3.55,680.0,4.04,13.33,5.0,32.0,-8.57,132.0
Lemon Tree Passage,780000.0,0.32,6.99,8.33,565.0,3.76,2.72,6.0,25.0,38.89,97.0
Tanilba Bay,762500.0,4.0,1.66,10.5,585.0,3.98,8.33,3.0,21.0,5.0,76.0
Raymond Terrace,643500.0,1.26,3.2,7.25,550.0,4.44,3.77,16.0,75.0,27.12,123.0
Seaham,,,,,,,,1.0,4.0,-20.0,
Woodville,,,,,650.0,,32.65,4.0,6.0,50.0,31.0
Tea Gardens,980000.0,0.25,8.88,9.49,580.0,3.07,5.45,6.0,33.0,-21.43,162.0
Hawks Nest,860000.0,0.0,-14.81,-9.48,540.0,3.26,2.85,2.0,26.0,116.67,158.0
Williamtown,315000.0,,,,,,,0.0,14.0,16.67,76.0
Medowie,895000.0,1.11,5.41,6.67,635.0,3.68,5.83,12.0,77.0,8.45,90.0
Karuah,729500.0,-4.06,0.06,-0.07,510.0,3.63,-1.93,1.0,21.0,-32.26,108.0
Muswellbrook,569000.0,2.75,14.94,23.69,495.0,4.52,7.6,24.0,89.0,-3.26,67.0
Scone,677500.0,0.0,11.06,38.26,520.0,3.99,0.0,8.0,30.0,-3.23,73.0
Dapto,810000.0,-1.22,4.51,8.0,600.0,3.85,5.26,12.0,44.0,-10.2,51.0
Avondale,760000.0,0.0,,,,,,1.0,13.0,116.67,31.0
Horsley,972000.0,0.1,8.0,8.0,720.0,3.85,10.76,9.0,54.0,10.2,72.0
Kembla Grange,1016000.0,2.3,3.67,3.35,750.0,3.83,7.91,0.0,11.0,-47.62,228.0
Unanderra,890000.0,5.29,11.25,12.65,620.0,3.62,5.98,8.0,16.0,-5.88,75.0
Mount Kembla,,,,,,,,1.0,5.0,66.67,
Berkeley,775000.0,3.33,4.09,9.15,580.0,3.89,5.45,7.0,25.0,13.64,52.0
Lake Heights,850000.0,0.0,6.38,0.05,640.0,3.91,8.47,1.0,19.0,72.73,58.0
Cringila,,,,,550.0,,7.84,0.0,3.0,50.0,
Port Kembla,995000.0,5.43,17.05,2.05,650.0,3.39,10.16,4.0,14.0,-6.67,58.0
Warrawong,750000.0,0.0,7.14,-3.85,570.0,3.95,3.63,2.0,9.0,-30.77,46.0
Windang,710000.0,-5.27,58.12,-5.34,680.0,4.98,4.61,5.0,29.0,70.59,122.0
Primbee,1070000.0,2.16,12.04,2.24,660.0,3.2,5.6,4.0,9.0,-10.0,75.0
Albion Park,859000.0,0.0,1.17,1.05,650.0,3.93,7.43,16.0,58.0,-25.64,76.0
Macquarie Pass,,,,,,,,,,,
Albion Park Rail,820000.0,-1.1,3.14,5.26,595.0,3.77,6.25,6.0,22.0,-42.11,89.0
Kiama,1700000.0,6.25,6.25,-2.86,740.0,2.26,8.82,11.0,64.0,72.97,103.0
Kiama Downs,1490000.0,-1.36,18.25,14.61,750.0,2.61,7.14,5.0,19.0,90.0,72.0
Minnamurra,1695000.0,,,-0.3,,,,1.0,4.0,100.0,111.0
Gerringong,1512500.0,0.96,-2.42,-2.42,760.0,2.61,8.57,4.0,26.0,8.33,83.0
Shellharbour,1312500.0,3.84,7.14,9.83,680.0,2.69,4.61,8.0,22.0,46.67,78.0
Flinders,1050000.0,1.98,1.25,10.52,700.0,3.46,2.94,8.0,27.0,3.85,65.0
Oak Flats,850000.0,-0.12,-2.19,0.11,600.0,3.67,0.0,2.0,28.0,-26.32,86.0
Warilla,799000.0,3.09,6.67,7.97,600.0,3.9,4.34,5.0,17.0,-10.53,61.0
Balgownie,1400000.0,-3.3,14.28,12.0,750.0,2.78,6.38,10.0,27.0,58.82,65.0
Fairy Meadow,1282000.0,1.52,11.47,19.25,700.0,2.83,12.9,8.0,21.0,5.0,50.0
Corrimal,1175000.0,0.0,6.81,6.81,705.0,3.12,6.81,2.0,31.0,-11.43,63.0
Tarrawanna,1350000.0,,,,720.0,2.77,0.0,4.0,7.0,16.67,102.0
Bellambi,1095000.0,-0.46,9.5,1.86,670.0,3.18,8.06,4.0,7.0,-36.36,36.0
Figtree,1100000.0,0.0,0.0,11.67,725.0,3.42,8.2,14.0,40.0,17.65,49.0
Keiraville,1162500.0,3.98,10.71,-1.07,750.0,3.35,0.0,8.0,19.0,137.5,78.0
Helensburgh,1290000.0,-1.89,-0.77,7.5,830.0,3.34,10.66,4.0,9.0,-35.71,30.0
Thirroul,1850000.0,-2.12,3.35,-5.13,965.0,2.71,7.22,7.0,30.0,-16.67,88.0
Austinmer,2000000.0,0.0,-10.12,-9.1,985.0,2.56,-1.01,3.0,14.0,-33.33,122.0
Coalcliff,,,,,,,,0.0,3.0,200.0,
Woonona,1400000.0,0.0,-1.76,0.71,810.0,3.0,1.25,18.0,59.0,43.9,78.0
Bulli,1700000.0,1.43,13.33,7.25,880.0,2.69,7.31,7.0,37.0,37.04,93.0
Russell Vale,1260000.0,,2.31,5.43,720.0,2.97,-10.0,0.0,6.0,-45.45,92.0
Wollongong,1162500.0,0.2,6.4,-3.13,700.0,3.13,7.69,4.0,29.0,7.41,83.0
Bulahdelah,675000.0,0.65,3.36,14.02,,,,0.0,16.0,14.29,141.0
Stroud,650000.0,4.83,,,,,,0.0,6.0,20.0,110.0
Forster,949000.0,-0.77,-0.32,7.96,620.0,3.39,5.08,30.0,170.0,8.97,100.0
Tuncurry,799000.0,0.0,0.5,0.56,580.0,3.77,13.72,10.0,31.0,-47.46,89.0
Kempsey,477500.0,-1.57,,24.83,395.0,4.3,6.75,0.0,7.0,250.0,349.0
Macksville,649000.0,-1.47,8.16,2.28,530.0,4.24,8.16,3.0,21.0,-27.59,192.0
Scotts Head,1157500.0,-3.87,12.43,-3.14,550.0,2.47,7.84,1.0,11.0,-26.67,206.0
Nambucca Heads,660000.0,1.47,1.93,-3.65,500.0,3.93,0.0,11.0,73.0,-21.51,141.0
South West Rocks,826500.0,3.1,-2.77,-2.77,555.0,3.49,4.71,7.0,101.0,29.49,208.0
Lord Howe Island,,,,,,,,0.0,0.0,0.0,
Laurieton,625000.0,-3.09,-7.41,0.0,550.0,4.57,-3.51,2.0,12.0,-42.86,134.0
Bonny Hills,950000.0,0.8,1.38,2.15,650.0,3.55,8.33,3.0,21.0,-8.7,100.0
Port Macquarie,849000.0,0.53,2.9,1.07,645.0,3.95,7.5,62.0,300.0,-17.58,92.0
Wauchope,662500.0,-0.08,0.3,3.35,555.0,4.35,0.9,12.0,51.0,-3.77,65.0
Gloucester,590000.0,0.42,6.3,7.27,450.0,3.96,0.0,6.0,41.0,70.83,123.0
Old Bar,795000.0,-1.06,0.0,-0.51,580.0,3.79,11.53,10.0,50.0,-21.88,119.0
